gene_id	exonic_length
ENSMUSG00000101714	452
ENSMUSG00000102531	566
ENSMUSG00000102279	463
ENSMUSG00000103708	761
ENSMUSG00000104201	425
ENSMUSG00000045216	5542
ENSMUSG00000104523	447
ENSMUSG00000102202	4340
ENSMUSG00000037470	12853
ENSMUSG00000047180	3217
ENSMUSG00000037447	12540
ENSMUSG00000102762	713
ENSMUSG00000010453	6742
ENSMUSG00000037432	6356
ENSMUSG00000001143	7359
ENSMUSG00000037408	4829
ENSMUSG00000001138	6420
ENSMUSG00000102845	269
ENSMUSG00000067653	2697
ENSMUSG00000079610	4654
ENSMUSG00000026121	4593
ENSMUSG00000087589	2830
ENSMUSG00000046337	3190
ENSMUSG00000061518	1587
ENSMUSG00000037351	4274
ENSMUSG00000102416	1744
ENSMUSG00000104237	1633
ENSMUSG00000026117	2992
ENSMUSG00000026116	9413
ENSMUSG00000102930	2413
ENSMUSG00000050122	5964
ENSMUSG00000103603	992
ENSMUSG00000026114	3957
ENSMUSG00000026113	10387
ENSMUSG00000086064	861
ENSMUSG00000026112	5220
ENSMUSG00000026111	1579
ENSMUSG00000026110	12881
ENSMUSG00000026090	5075
ENSMUSG00000089767	560
ENSMUSG00000060771	10662
ENSMUSG00000097268	3089
ENSMUSG00000037216	2051
ENSMUSG00000026088	2770
ENSMUSG00000026087	3226
ENSMUSG00000061584	2564
ENSMUSG00000087374	3990
ENSMUSG00000026085	888
ENSMUSG00000058407	9102
ENSMUSG00000026083	9753
ENSMUSG00000026082	6168
ENSMUSG00000103804	701
ENSMUSG00000102716	1848
ENSMUSG00000037138	6654
ENSMUSG00000085391	912
ENSMUSG00000085280	639
ENSMUSG00000087131	1853
ENSMUSG00000048814	7506
ENSMUSG00000026080	11964
ENSMUSG00000103647	325
ENSMUSG00000067604	1001
ENSMUSG00000026078	4219
ENSMUSG00000104188	1843
ENSMUSG00000026077	4791
ENSMUSG00000073702	1662
ENSMUSG00000003134	5239
ENSMUSG00000003135	3508
ENSMUSG00000085894	1832
ENSMUSG00000048234	2838
ENSMUSG00000050967	6091
ENSMUSG00000097083	3663
ENSMUSG00000057173	2139
ENSMUSG00000091937	352
ENSMUSG00000101634	1068
ENSMUSG00000026074	9579
ENSMUSG00000026073	1908
ENSMUSG00000097899	842
ENSMUSG00000026072	6363
ENSMUSG00000070942	6812
ENSMUSG00000026069	6894
ENSMUSG00000026070	4817
ENSMUSG00000026068	6752
ENSMUSG00000104441	479
ENSMUSG00000026065	4562
ENSMUSG00000026062	6984
ENSMUSG00000103679	803
ENSMUSG00000103270	3261
ENSMUSG00000041945	5125
ENSMUSG00000079588	2716
ENSMUSG00000104072	546
ENSMUSG00000100185	2613
ENSMUSG00000100832	3198
ENSMUSG00000053640	1383
ENSMUSG00000101919	463
ENSMUSG00000101299	1734
ENSMUSG00000100180	1271
ENSMUSG00000060424	4458
ENSMUSG00000093436	1712
ENSMUSG00000045515	7409
ENSMUSG00000097063	1257
ENSMUSG00000099784	2170
ENSMUSG00000060679	5763
ENSMUSG00000041907	7238
ENSMUSG00000070939	10972
ENSMUSG00000100269	414
ENSMUSG00000041878	1248
ENSMUSG00000010290	3458
ENSMUSG00000008136	1897
ENSMUSG00000099576	1188
ENSMUSG00000066877	4455
ENSMUSG00000026051	902
ENSMUSG00000100764	458
ENSMUSG00000100635	612
ENSMUSG00000100480	499
ENSMUSG00000057363	5097
ENSMUSG00000041763	10078
ENSMUSG00000047343	4300
ENSMUSG00000091844	20036
ENSMUSG00000026049	1926
ENSMUSG00000026047	3199
ENSMUSG00000041684	4206
ENSMUSG00000026048	5864
ENSMUSG00000046828	3961
ENSMUSG00000100769	1108
ENSMUSG00000056870	3758
ENSMUSG00000101701	905
ENSMUSG00000026043	9816
ENSMUSG00000026042	9591
ENSMUSG00000025995	4900
ENSMUSG00000098549	749
ENSMUSG00000025993	9000
ENSMUSG00000041144	19984
ENSMUSG00000101337	12603
ENSMUSG00000025986	6095
ENSMUSG00000100213	951
ENSMUSG00000101447	488
ENSMUSG00000051616	582
ENSMUSG00000099608	1493
ENSMUSG00000100451	528
ENSMUSG00000100816	2327
ENSMUSG00000026109	6707
ENSMUSG00000100671	1475
ENSMUSG00000101242	226
ENSMUSG00000099924	2273
ENSMUSG00000099625	2528
ENSMUSG00000101799	2552
ENSMUSG00000045954	3055
ENSMUSG00000101702	548
ENSMUSG00000026107	8498
ENSMUSG00000099413	3979
ENSMUSG00000101741	1420
ENSMUSG00000018417	10792
ENSMUSG00000101724	1279
ENSMUSG00000100313	2499
ENSMUSG00000062939	3872
ENSMUSG00000109599	1170
ENSMUSG00000026104	7105
ENSMUSG00000026103	15057
ENSMUSG00000002881	4100
ENSMUSG00000100120	701
ENSMUSG00000099878	2943
ENSMUSG00000043015	7078
ENSMUSG00000041439	8231
ENSMUSG00000100302	2491
ENSMUSG00000026102	6460
ENSMUSG00000041426	6059
ENSMUSG00000043629	4330
ENSMUSG00000026100	2705
ENSMUSG00000060715	777
ENSMUSG00000026098	7542
ENSMUSG00000100763	535
ENSMUSG00000026097	4711
ENSMUSG00000026096	6147
ENSMUSG00000026095	3528
ENSMUSG00000117809	300
ENSMUSG00000096141	12767
ENSMUSG00000026094	5185
ENSMUSG00000042807	12947
ENSMUSG00000025983	5021
ENSMUSG00000041303	4925
ENSMUSG00000109809	825
ENSMUSG00000073678	16611
ENSMUSG00000052331	14175
ENSMUSG00000101674	2666
ENSMUSG00000025982	11370
ENSMUSG00000025981	4805
ENSMUSG00000025980	2642
ENSMUSG00000073676	1474
ENSMUSG00000025979	4855
ENSMUSG00000025978	5871
ENSMUSG00000097649	1943
ENSMUSG00000046994	11294
ENSMUSG00000025977	3514
ENSMUSG00000038349	6687
ENSMUSG00000099950	2345
ENSMUSG00000100372	482
ENSMUSG00000101332	2053
ENSMUSG00000045336	1392
ENSMUSG00000038331	6788
ENSMUSG00000087022	5779
ENSMUSG00000099945	2061
ENSMUSG00000101429	3301
ENSMUSG00000097519	2052
ENSMUSG00000038323	3235
ENSMUSG00000048495	2808
ENSMUSG00000025971	7878
ENSMUSG00000038305	8041
ENSMUSG00000091283	392
ENSMUSG00000054770	12973
ENSMUSG00000026039	7007
ENSMUSG00000063558	8690
ENSMUSG00000064294	7033
ENSMUSG00000038242	8416
ENSMUSG00000089822	3723
ENSMUSG00000079554	5771
ENSMUSG00000051223	4033
ENSMUSG00000026034	8132
ENSMUSG00000026035	4291
ENSMUSG00000026036	7763
ENSMUSG00000026037	3857
ENSMUSG00000085054	4616
ENSMUSG00000038174	12041
ENSMUSG00000026032	763
ENSMUSG00000047528	3396
ENSMUSG00000026031	12669
ENSMUSG00000026029	2893
ENSMUSG00000026028	7088
ENSMUSG00000026027	7256
ENSMUSG00000072295	7601
ENSMUSG00000047383	878
ENSMUSG00000099752	1193
ENSMUSG00000038079	2389
ENSMUSG00000097573	2309
ENSMUSG00000079550	7063
ENSMUSG00000101586	2092
ENSMUSG00000026024	9496
ENSMUSG00000026023	2507
ENSMUSG00000099922	1013
ENSMUSG00000041075	4532
ENSMUSG00000097819	3587
ENSMUSG00000047361	5484
ENSMUSG00000099811	694
ENSMUSG00000101409	421
ENSMUSG00000026021	2076
ENSMUSG00000026020	10758
ENSMUSG00000067336	17983
ENSMUSG00000041040	7290
ENSMUSG00000026018	5356
ENSMUSG00000026019	11955
ENSMUSG00000026017	14557
ENSMUSG00000073664	28441
ENSMUSG00000049439	2286
ENSMUSG00000026782	8543
ENSMUSG00000026014	20498
ENSMUSG00000026012	6122
ENSMUSG00000086795	845
ENSMUSG00000085965	388
ENSMUSG00000026011	2330
ENSMUSG00000026009	3430
ENSMUSG00000100893	538
ENSMUSG00000085248	1120
ENSMUSG00000085447	892
ENSMUSG00000086408	658
ENSMUSG00000100965	506
ENSMUSG00000086009	851
ENSMUSG00000052062	13153
ENSMUSG00000085842	1984
ENSMUSG00000085019	770
ENSMUSG00000085400	862
ENSMUSG00000100750	1452
ENSMUSG00000025969	11842
ENSMUSG00000100811	733
ENSMUSG00000100426	871
ENSMUSG00000040865	17713
ENSMUSG00000084799	2880
ENSMUSG00000101599	9720
ENSMUSG00000025968	8086
ENSMUSG00000025967	2532
ENSMUSG00000046856	2496
ENSMUSG00000086730	911
ENSMUSG00000087561	882
ENSMUSG00000027520	12659
ENSMUSG00000025964	17907
ENSMUSG00000115378	1105
ENSMUSG00000069085	6143
ENSMUSG00000025963	1719
ENSMUSG00000025962	5873
ENSMUSG00000025961	1758
ENSMUSG00000044689	1432
ENSMUSG00000025959	8131
ENSMUSG00000086836	378
ENSMUSG00000101895	1288
ENSMUSG00000025958	13742
ENSMUSG00000025956	3005
ENSMUSG00000101832	512
ENSMUSG00000100437	325
ENSMUSG00000087213	2341
ENSMUSG00000070871	3456
ENSMUSG00000045005	6915
ENSMUSG00000051344	10921
ENSMUSG00000025955	4209
ENSMUSG00000070870	723
ENSMUSG00000067299	1028
ENSMUSG00000025952	786
ENSMUSG00000073658	634
ENSMUSG00000044429	730
ENSMUSG00000044816	2667
ENSMUSG00000025950	2771
ENSMUSG00000025949	19211
ENSMUSG00000025946	2582
ENSMUSG00000025945	627
ENSMUSG00000015222	16449
ENSMUSG00000073656	1661
ENSMUSG00000055567	14425
ENSMUSG00000026005	3113
ENSMUSG00000026004	6664
ENSMUSG00000026003	2005
ENSMUSG00000061816	2074
ENSMUSG00000026000	6863
ENSMUSG00000025991	5555
ENSMUSG00000086204	678
ENSMUSG00000085075	526
ENSMUSG00000087329	576
ENSMUSG00000062209	12355
ENSMUSG00000087514	480
ENSMUSG00000099804	3029
ENSMUSG00000100354	3432
ENSMUSG00000101156	2508
ENSMUSG00000025997	11613
ENSMUSG00000100815	3487
ENSMUSG00000099954	1875
ENSMUSG00000053153	6764
ENSMUSG00000045648	7689
ENSMUSG00000026196	5659
ENSMUSG00000050296	14808
ENSMUSG00000026192	7985
ENSMUSG00000026193	11685
ENSMUSG00000073652	2091
ENSMUSG00000099707	1541
ENSMUSG00000101211	3067
ENSMUSG00000101848	1093
ENSMUSG00000101764	741
ENSMUSG00000102123	2048
ENSMUSG00000039395	2284
ENSMUSG00000026189	1516
ENSMUSG00000026188	3054
ENSMUSG00000026187	2549
ENSMUSG00000039372	4553
ENSMUSG00000039354	5728
ENSMUSG00000110712	1282
ENSMUSG00000039342	4588
ENSMUSG00000046330	1410
ENSMUSG00000039323	1847
ENSMUSG00000026185	6006
ENSMUSG00000101968	1396
ENSMUSG00000026182	437
ENSMUSG00000101112	516
ENSMUSG00000099877	2587
ENSMUSG00000101812	562
ENSMUSG00000100444	3970
ENSMUSG00000100429	660
ENSMUSG00000100301	2442
ENSMUSG00000101344	790
ENSMUSG00000055322	16010
ENSMUSG00000061815	2329
ENSMUSG00000026180	3048
ENSMUSG00000048480	1491
ENSMUSG00000006304	2033
ENSMUSG00000064272	1075
ENSMUSG00000006299	3458
ENSMUSG00000101503	334
ENSMUSG00000026179	7832
ENSMUSG00000006301	12659
ENSMUSG00000099931	3265
ENSMUSG00000073650	2211
ENSMUSG00000026177	3705
ENSMUSG00000026176	3334
ENSMUSG00000026175	3551
ENSMUSG00000033364	11081
ENSMUSG00000026174	3826
ENSMUSG00000026173	7045
ENSMUSG00000026135	11355
ENSMUSG00000026172	2192
ENSMUSG00000026171	2181
ENSMUSG00000033276	6437
ENSMUSG00000033257	11527
ENSMUSG00000026170	2173
ENSMUSG00000006542	3682
ENSMUSG00000033227	2192
ENSMUSG00000099472	758
ENSMUSG00000026167	2468
ENSMUSG00000089964	1930
ENSMUSG00000090071	2799
ENSMUSG00000055197	1617
ENSMUSG00000006546	1193
ENSMUSG00000047021	7817
ENSMUSG00000089653	517
ENSMUSG00000006538	3048
ENSMUSG00000026162	1118
ENSMUSG00000026205	2167
ENSMUSG00000033159	5635
ENSMUSG00000049339	2999
ENSMUSG00000026197	1772
ENSMUSG00000026198	5315
ENSMUSG00000033124	5762
ENSMUSG00000026199	5142
ENSMUSG00000026200	5905
ENSMUSG00000026201	4518
ENSMUSG00000026202	3701
ENSMUSG00000096094	1123
ENSMUSG00000026203	4249
ENSMUSG00000026204	4249
ENSMUSG00000101840	386
ENSMUSG00000033061	1032
ENSMUSG00000100556	215
ENSMUSG00000026209	4289
ENSMUSG00000026208	3754
ENSMUSG00000085653	867
ENSMUSG00000026207	12741
ENSMUSG00000086053	472
ENSMUSG00000033021	2395
ENSMUSG00000033007	2727
ENSMUSG00000032997	3856
ENSMUSG00000026211	8467
ENSMUSG00000051703	2504
ENSMUSG00000032968	1475
ENSMUSG00000026213	5743
ENSMUSG00000006576	8599
ENSMUSG00000099996	487
ENSMUSG00000100827	675
ENSMUSG00000100553	2188
ENSMUSG00000100534	2456
ENSMUSG00000026235	8054
ENSMUSG00000101849	1849
ENSMUSG00000102052	854
ENSMUSG00000004872	6187
ENSMUSG00000032908	4002
ENSMUSG00000099561	1450
ENSMUSG00000026245	2620
ENSMUSG00000090486	3310
ENSMUSG00000012187	1558
ENSMUSG00000099364	2092
ENSMUSG00000100562	1011
ENSMUSG00000032883	4357
ENSMUSG00000079470	7679
ENSMUSG00000099706	3283
ENSMUSG00000047330	2657
ENSMUSG00000101324	689
ENSMUSG00000050711	2515
ENSMUSG00000054702	2878
ENSMUSG00000073643	6488
ENSMUSG00000026248	1644
ENSMUSG00000026249	8287
ENSMUSG00000099552	2333
ENSMUSG00000043230	3357
ENSMUSG00000101257	1461
ENSMUSG00000004364	4873
ENSMUSG00000101722	3220
ENSMUSG00000101483	968
ENSMUSG00000110100	594
ENSMUSG00000038608	18267
ENSMUSG00000054976	12508
ENSMUSG00000055980	9144
ENSMUSG00000022591	2822
ENSMUSG00000026142	6966
ENSMUSG00000100786	1682
ENSMUSG00000067158	10612
ENSMUSG00000079465	9967
ENSMUSG00000097564	4343
ENSMUSG00000026150	9757
ENSMUSG00000101450	1017
ENSMUSG00000026149	1508
ENSMUSG00000114299	420
ENSMUSG00000100170	365
ENSMUSG00000026159	8384
ENSMUSG00000113880	806
ENSMUSG00000113973	796
ENSMUSG00000113846	829
ENSMUSG00000113084	830
ENSMUSG00000113925	828
ENSMUSG00000114011	639
ENSMUSG00000113097	933
ENSMUSG00000038496	3065
ENSMUSG00000100190	957
ENSMUSG00000113267	1015
ENSMUSG00000104423	1093
ENSMUSG00000101315	992
ENSMUSG00000026166	1421
ENSMUSG00000053161	2140
ENSMUSG00000026163	9602
ENSMUSG00000100580	2146
ENSMUSG00000045658	8172
ENSMUSG00000036766	4784
ENSMUSG00000026219	16601
ENSMUSG00000073633	2148
ENSMUSG00000026220	3352
ENSMUSG00000052477	3827
ENSMUSG00000089844	1603
ENSMUSG00000073631	1563
ENSMUSG00000072109	2323
ENSMUSG00000090252	890
ENSMUSG00000089652	2425
ENSMUSG00000089714	2405
ENSMUSG00000094127	420
ENSMUSG00000070034	6781
ENSMUSG00000090103	427
ENSMUSG00000070031	3328
ENSMUSG00000073628	1056
ENSMUSG00000090246	2405
ENSMUSG00000026222	7556
ENSMUSG00000052760	2709
ENSMUSG00000100217	821
ENSMUSG00000036707	7077
ENSMUSG00000026223	2491
ENSMUSG00000026224	3343
ENSMUSG00000099767	3994
ENSMUSG00000049608	3721
ENSMUSG00000100108	582
ENSMUSG00000026226	2666
ENSMUSG00000026227	3331
ENSMUSG00000026229	7265
ENSMUSG00000026228	2131
ENSMUSG00000062590	13006
ENSMUSG00000087538	377
ENSMUSG00000079445	4137
ENSMUSG00000099644	520
ENSMUSG00000026234	10188
ENSMUSG00000073627	6437
ENSMUSG00000026237	1695
ENSMUSG00000036574	1724
ENSMUSG00000026238	1462
ENSMUSG00000026239	2178
ENSMUSG00000026240	5515
ENSMUSG00000026241	1042
ENSMUSG00000053333	8901
ENSMUSG00000100768	1710
ENSMUSG00000099401	430
ENSMUSG00000101625	885
ENSMUSG00000026246	2256
ENSMUSG00000079440	2337
ENSMUSG00000036500	2099
ENSMUSG00000099839	1340
ENSMUSG00000026247	3500
ENSMUSG00000036480	2180
ENSMUSG00000026251	3288
ENSMUSG00000026253	4163
ENSMUSG00000026254	7497
ENSMUSG00000026255	2125
ENSMUSG00000089821	332
ENSMUSG00000048000	14216
ENSMUSG00000079436	1270
ENSMUSG00000026258	722
ENSMUSG00000026259	3905
ENSMUSG00000079434	2590
ENSMUSG00000026288	7602
ENSMUSG00000026289	9628
ENSMUSG00000056055	8904
ENSMUSG00000070738	6850
ENSMUSG00000101942	841
ENSMUSG00000005501	11871
ENSMUSG00000090165	2267
ENSMUSG00000092220	1062
ENSMUSG00000090175	2190
ENSMUSG00000089675	2227
ENSMUSG00000090124	4219
ENSMUSG00000090145	2382
ENSMUSG00000054545	4312
ENSMUSG00000089943	2203
ENSMUSG00000090171	2211
ENSMUSG00000081984	1051
ENSMUSG00000089960	2224
ENSMUSG00000079429	8492
ENSMUSG00000044783	8331
ENSMUSG00000036251	4732
ENSMUSG00000085420	1236
ENSMUSG00000026295	992
ENSMUSG00000099553	471
ENSMUSG00000100908	316
ENSMUSG00000062310	1957
ENSMUSG00000100798	2623
ENSMUSG00000100367	573
ENSMUSG00000049866	5492
ENSMUSG00000097398	572
ENSMUSG00000099848	284
ENSMUSG00000099378	603
ENSMUSG00000036206	5112
ENSMUSG00000101288	589
ENSMUSG00000099938	591
ENSMUSG00000055013	17543
ENSMUSG00000101662	666
ENSMUSG00000102009	3393
ENSMUSG00000034486	2177
ENSMUSG00000092627	3057
ENSMUSG00000067081	4070
ENSMUSG00000026301	4278
ENSMUSG00000100850	1020
ENSMUSG00000044337	3348
ENSMUSG00000101951	918
ENSMUSG00000101028	1001
ENSMUSG00000101997	1036
ENSMUSG00000034432	4448
ENSMUSG00000056128	1207
ENSMUSG00000048126	11963
ENSMUSG00000026303	5357
ENSMUSG00000090550	276
ENSMUSG00000026304	1992
ENSMUSG00000100791	619
ENSMUSG00000026305	6469
ENSMUSG00000070732	6518
ENSMUSG00000034353	3022
ENSMUSG00000034343	8842
ENSMUSG00000026307	4549
ENSMUSG00000090322	490
ENSMUSG00000049515	5445
ENSMUSG00000026308	3089
ENSMUSG00000047443	2815
ENSMUSG00000026309	5556
ENSMUSG00000100253	547
ENSMUSG00000067071	1808
ENSMUSG00000055866	5856
ENSMUSG00000100151	1669
ENSMUSG00000034292	3712
ENSMUSG00000026311	6432
ENSMUSG00000101705	385
ENSMUSG00000100980	4410
ENSMUSG00000007805	3174
ENSMUSG00000101414	1471
ENSMUSG00000026313	15813
ENSMUSG00000101265	760
ENSMUSG00000026260	3331
ENSMUSG00000067064	4838
ENSMUSG00000057464	2815
ENSMUSG00000042849	6083
ENSMUSG00000058904	1724
ENSMUSG00000097001	376
ENSMUSG00000046300	3663
ENSMUSG00000062497	1901
ENSMUSG00000063583	7927
ENSMUSG00000061616	4158
ENSMUSG00000073616	1499
ENSMUSG00000044055	3082
ENSMUSG00000100546	1078
ENSMUSG00000099665	230
ENSMUSG00000100781	1049
ENSMUSG00000034220	5159
ENSMUSG00000101995	1655
ENSMUSG00000034212	4846
ENSMUSG00000047067	1314
ENSMUSG00000097251	1787
ENSMUSG00000026269	9467
ENSMUSG00000100632	1689
ENSMUSG00000026270	4346
ENSMUSG00000026271	4839
ENSMUSG00000045091	1088
ENSMUSG00000014602	9330
ENSMUSG00000101378	317
ENSMUSG00000026272	1697
ENSMUSG00000034159	2368
ENSMUSG00000084989	7132
ENSMUSG00000047793	9491
ENSMUSG00000026273	5271
ENSMUSG00000101172	885
ENSMUSG00000026274	9060
ENSMUSG00000026275	10495
ENSMUSG00000034107	3984
ENSMUSG00000034088	11320
ENSMUSG00000026276	7979
ENSMUSG00000116048	3335
ENSMUSG00000034066	5235
ENSMUSG00000026277	5812
ENSMUSG00000100927	1317
ENSMUSG00000026278	1840
ENSMUSG00000026279	6519
ENSMUSG00000101952	982
ENSMUSG00000026280	8278
ENSMUSG00000026281	2631
ENSMUSG00000026283	4729
ENSMUSG00000073609	4281
ENSMUSG00000094651	3063
ENSMUSG00000093805	2748
ENSMUSG00000073608	9667
ENSMUSG00000034000	4637
ENSMUSG00000026285	1930
ENSMUSG00000100518	1607
ENSMUSG00000051185	4814
ENSMUSG00000040710	20091
ENSMUSG00000100777	761
ENSMUSG00000100062	356
ENSMUSG00000100336	1349
ENSMUSG00000100589	583
ENSMUSG00000040693	4908
ENSMUSG00000097814	4120
ENSMUSG00000100454	474
ENSMUSG00000026331	2842
ENSMUSG00000044768	41324
ENSMUSG00000040648	14381
ENSMUSG00000026333	6048
ENSMUSG00000026335	11892
ENSMUSG00000089706	5853
ENSMUSG00000100182	1882
ENSMUSG00000100711	4176
ENSMUSG00000026336	3173
ENSMUSG00000100009	5950
ENSMUSG00000067028	5205
ENSMUSG00000100684	845
ENSMUSG00000099375	2134
ENSMUSG00000050840	4012
ENSMUSG00000089866	280
ENSMUSG00000099669	469
ENSMUSG00000047496	8532
ENSMUSG00000097482	1655
ENSMUSG00000101214	2710
ENSMUSG00000056536	13595
ENSMUSG00000100672	453
ENSMUSG00000026319	9500
ENSMUSG00000026321	5985
ENSMUSG00000099843	1417
ENSMUSG00000038866	6774
ENSMUSG00000101583	545
ENSMUSG00000044340	6752
ENSMUSG00000100247	1467
ENSMUSG00000057329	9157
ENSMUSG00000054006	2056
ENSMUSG00000009905	8147
ENSMUSG00000009907	8905
ENSMUSG00000067006	2750
ENSMUSG00000059956	2498
ENSMUSG00000048775	1672
ENSMUSG00000044594	1631
ENSMUSG00000058017	1216
ENSMUSG00000073602	1688
ENSMUSG00000073601	1659
ENSMUSG00000026327	2186
ENSMUSG00000087210	257
ENSMUSG00000067001	1957
ENSMUSG00000062345	2349
ENSMUSG00000026315	4795
ENSMUSG00000086161	666
ENSMUSG00000100457	3629
ENSMUSG00000026312	10037
ENSMUSG00000047216	4280
ENSMUSG00000101253	581
ENSMUSG00000038702	5763
ENSMUSG00000101453	571
ENSMUSG00000097648	1009
ENSMUSG00000070695	10945
ENSMUSG00000094429	3030
ENSMUSG00000107979	618
ENSMUSG00000100265	673
ENSMUSG00000101303	2879
ENSMUSG00000100305	1491
ENSMUSG00000101415	2630
ENSMUSG00000100617	1794
ENSMUSG00000102030	4012
ENSMUSG00000026374	9046
ENSMUSG00000026377	1965
ENSMUSG00000099936	2166
ENSMUSG00000064302	21844
ENSMUSG00000107722	616
ENSMUSG00000026380	9438
ENSMUSG00000048402	6869
ENSMUSG00000097408	1380
ENSMUSG00000099860	768
ENSMUSG00000101179	3888
ENSMUSG00000037035	4255
ENSMUSG00000004451	4930
ENSMUSG00000098447	607
ENSMUSG00000098923	2824
ENSMUSG00000101731	2637
ENSMUSG00000026383	14758
ENSMUSG00000026384	11321
ENSMUSG00000101224	775
ENSMUSG00000036975	3341
ENSMUSG00000036962	2915
